Test (2B): basic agreement ...
002854 VOTE S2  vote vf(2) to own
002856 VOTE S2  vote -> 1 cT(1)
002857 VOTE S2  vote -> 0 cT(1)
002865 VOTE S1  vote <- 2  T(1) > cT(0) vf(2) A
002865 VOTE S1  vote be -1' follower cT(1) < T(1)
002867 VOTE S0  vote <- 2  T(1) > cT(0) vf(2) A
002867 VOTE S0  vote be -1' follower cT(1) < T(1)
002869 VOTE S2  have 2 votes T(1) cT(1) 1 B
002869 LEAD S2  be Leader B
002870 LEAD S2  app -> 1 cT(1)
002871 LEAD S2  app -> 0 cT(1)
002877 LEAD S1  app <- 2 T(1) cT(1)
002878 LEAD S1  app vf(2)
002878 LEAD S1  app be follower
002879 LEAD S0  app <- 2 T(1) cT(1)
002879 LEAD S0  app vf(2)
002880 LEAD S0  app be follower
003908 LEAD S2  app -> 1 cT(1)
003908 LEAD S2  app -> 0 cT(1)
003914 LEAD S1  app <- 2 T(1) cT(1)
003915 LEAD S1  app vf(2)
003915 LEAD S0  app <- 2 T(1) cT(1)
003916 LEAD S0  app vf(2)
004930 LEAD S2  app -> 1 cT(1)
004931 LEAD S2  app -> 0 cT(1)
004936 LEAD S1  app <- 2 T(1) cT(1)
004937 LEAD S0  app <- 2 T(1) cT(1)
004937 LEAD S1  app vf(2)
004937 LEAD S0  app vf(2)
005951 LEAD S2  app -> 0 cT(1)
005951 LEAD S2  app -> 1 cT(1)
005955 LEAD S0  app <- 2 T(1) cT(1)
005956 LEAD S0  app vf(2)
005957 LEAD S1  app <- 2 T(1) cT(1)
005958 LEAD S1  app vf(2)
006968 LEAD S2  app -> 1 cT(1)
006968 LEAD S2  app -> 0 cT(1)
006972 LEAD S1  app <- 2 T(1) cT(1)
006973 LEAD S1  app vf(2)
006973 LEAD S0  app <- 2 T(1) cT(1)
006974 LEAD S0  app vf(2)
007992 LEAD S2  app -> 1 cT(1)
007993 LEAD S2  app -> 0 cT(1)
007997 LEAD S1  app <- 2 T(1) cT(1)
007998 LEAD S1  app vf(2)
007999 LEAD S0  app <- 2 T(1) cT(1)
008000 LEAD S0  app vf(2)
009006 LEAD S2  app -> 1 cT(1)
009007 LEAD S2  app -> 0 cT(1)
009011 LEAD S0  app <- 2 T(1) cT(1)
009012 LEAD S0  app vf(2)
009011 LEAD S1  app <- 2 T(1) cT(1)
009013 LEAD S1  app vf(2)
010023 LEAD S2  app -> 1 cT(1)
010023 LEAD S2  app -> 0 cT(1)
010027 LEAD S1  app <- 2 T(1) cT(1)
010028 LEAD S1  app vf(2)
010029 LEAD S0  app <- 2 T(1) cT(1)
010030 LEAD S0  app vf(2)
011041 LEAD S2  app -> 1 cT(1)
011041 LEAD S2  app -> 0 cT(1)
011046 LEAD S1  app <- 2 T(1) cT(1)
011047 LEAD S1  app vf(2)
011047 LEAD S0  app <- 2 T(1) cT(1)
011048 LEAD S0  app vf(2)
012056 LEAD S2  app -> 1 cT(1)
012056 LEAD S2  app -> 0 cT(1)
012058 LEAD S1  app <- 2 T(1) cT(1)
012058 LEAD S1  app vf(2)
012058 LEAD S0  app <- 2 T(1) cT(1)
012058 LEAD S0  app vf(2)
